SMD_site	SMD_lat	SMD_lon
GD1	21.916	111.944
GD2	22.968	113.23
GD3	24.015	114.805
JX1	25.906	115.049
JX2	26.802	114.895
JX3	27.856	114.931
JX4	28.56	115.944
JX5	29.712	116.041
AH1	30.715	116.832
AH2	31.888	117.478
AH3	32.655	116.627
SD1	34.372	117.247
SD2	34.773	117.251
SD3	35.441	116.647
S7	24.167	65.388
S8	25.136	58.243
S6	25.593	64.966
S9	27.418	58.849
S5	27.51	64.899
S10	28.477	59.003
S11	30.039	59.531
S12	31.562	59.205
S13	32.687	58.868
S14	33.453	58.801
S1	34.863	58.571
S2	35.943	58.997
S3	36.858	59.885
S4	37.822	58.225
