SMD_pid,SMD_origin,SMD_region,SMD_site,SMD_population
S1P1-1,nat,ASO,S1,S1P1
S1P1-2,nat,ASO,S1,S1P1
S1P1-3,nat,ASO,S1,S1P1
S1P1-4,nat,ASO,S1,S1P1
S1P1-5,nat,ASO,S1,S1P1
S1P1-6,nat,ASO,S1,S1P1
S1P1-7,nat,ASO,S1,S1P1
S1P1-8,nat,ASO,S1,S1P1
S1P1-9,nat,ASO,S1,S1P1
S1P1-10,nat,ASO,S1,S1P1
S1P2-1,nat,ASO,S1,S1P2
S1P2-2,nat,ASO,S1,S1P2
S1P2-3,nat,ASO,S1,S1P2
S1P2-4,nat,ASO,S1,S1P2
S1P2-5,nat,ASO,S1,S1P2
S1P2-6,nat,ASO,S1,S1P2
S1P2-7,nat,ASO,S1,S1P2
S1P2-8,nat,ASO,S1,S1P2
S1P2-9,nat,ASO,S1,S1P2
S1P2-10,nat,ASO,S1,S1P2
S1P3-1,nat,ASO,S1,S1P3
S1P3-2,nat,ASO,S1,S1P3
S1P3-3,nat,ASO,S1,S1P3
S1P3-4,nat,ASO,S1,S1P3
S1P3-5,nat,ASO,S1,S1P3
S1P3-6,nat,ASO,S1,S1P3
S1P3-7,nat,ASO,S1,S1P3
S1P3-8,nat,ASO,S1,S1P3
S1P3-9,nat,ASO,S1,S1P3
S1P3-10,nat,ASO,S1,S1P3
S2P1-1,nat,ASO,S2,S2P1
S2P1-2,nat,ASO,S2,S2P1
S2P1-3,nat,ASO,S2,S2P1
S2P1-4,nat,ASO,S2,S2P1
S2P1-5,nat,ASO,S2,S2P1
S2P1-6,nat,ASO,S2,S2P1
S2P1-7,nat,ASO,S2,S2P1
S2P1-8,nat,ASO,S2,S2P1
S2P1-9,nat,ASO,S2,S2P1
S2P1-10,nat,ASO,S2,S2P1
S2P2-1,nat,ASO,S2,S2P2
S2P2-2,nat,ASO,S2,S2P2
S2P2-3,nat,ASO,S2,S2P2
S2P2-4,nat,ASO,S2,S2P2
S2P2-5,nat,ASO,S2,S2P2
S2P2-6,nat,ASO,S2,S2P2
S2P2-7,nat,ASO,S2,S2P2
S2P2-8,nat,ASO,S2,S2P2
S2P2-9,nat,ASO,S2,S2P2
S2P2-10,nat,ASO,S2,S2P2
S2P3-1,nat,ASO,S2,S2P3
S2P3-2,nat,ASO,S2,S2P3
S2P3-3,nat,ASO,S2,S2P3
S2P3-4,nat,ASO,S2,S2P3
S2P3-5,nat,ASO,S2,S2P3
S2P3-6,nat,ASO,S2,S2P3
S2P3-7,nat,ASO,S2,S2P3
S2P3-8,nat,ASO,S2,S2P3
S2P3-9,nat,ASO,S2,S2P3
S2P3-10,nat,ASO,S2,S2P3
S3P1-1,nat,ASO,S3,S3P1
S3P1-2,nat,ASO,S3,S3P1
S3P1-3,nat,ASO,S3,S3P1
S3P1-4,nat,ASO,S3,S3P1
S3P1-5,nat,ASO,S3,S3P1
S3P1-6,nat,ASO,S3,S3P1
S3P1-7,nat,ASO,S3,S3P1
S3P1-8,nat,ASO,S3,S3P1
S3P1-9,nat,ASO,S3,S3P1
S3P1-10,nat,ASO,S3,S3P1
S3P2-1,nat,ASO,S3,S3P2
S3P2-2,nat,ASO,S3,S3P2
S3P2-3,nat,ASO,S3,S3P2
S3P2-4,nat,ASO,S3,S3P2
S3P2-5,nat,ASO,S3,S3P2
S3P2-6,nat,ASO,S3,S3P2
S3P2-7,nat,ASO,S3,S3P2
S3P2-8,nat,ASO,S3,S3P2
S3P2-9,nat,ASO,S3,S3P2
S3P2-10,nat,ASO,S3,S3P2
S3P3-1,nat,ASO,S3,S3P3
S3P3-2,nat,ASO,S3,S3P3
S3P3-3,nat,ASO,S3,S3P3
S3P3-4,nat,ASO,S3,S3P3
S3P3-5,nat,ASO,S3,S3P3
S3P3-6,nat,ASO,S3,S3P3
S3P3-7,nat,ASO,S3,S3P3
S3P3-8,nat,ASO,S3,S3P3
S3P3-9,nat,ASO,S3,S3P3
S3P3-10,nat,ASO,S3,S3P3
S4P1-1,nat,ASO,S4,S4P1
S4P1-2,nat,ASO,S4,S4P1
S4P1-3,nat,ASO,S4,S4P1
S4P1-4,nat,ASO,S4,S4P1
S4P1-5,nat,ASO,S4,S4P1
S4P1-6,nat,ASO,S4,S4P1
S4P1-7,nat,ASO,S4,S4P1
S4P1-8,nat,ASO,S4,S4P1
S4P1-9,nat,ASO,S4,S4P1
S4P1-10,nat,ASO,S4,S4P1
S4P2-1,nat,ASO,S4,S4P2
S4P2-2,nat,ASO,S4,S4P2
S4P2-3,nat,ASO,S4,S4P2
S4P2-4,nat,ASO,S4,S4P2
S4P2-5,nat,ASO,S4,S4P2
S4P2-6,nat,ASO,S4,S4P2
S4P2-7,nat,ASO,S4,S4P2
S4P2-8,nat,ASO,S4,S4P2
S4P2-9,nat,ASO,S4,S4P2
S4P2-10,nat,ASO,S4,S4P2
S4P3-1,nat,ASO,S4,S4P3
S4P3-2,nat,ASO,S4,S4P3
S4P3-3,nat,ASO,S4,S4P3
S4P3-4,nat,ASO,S4,S4P3
S4P3-5,nat,ASO,S4,S4P3
S4P3-6,nat,ASO,S4,S4P3
S4P3-7,nat,ASO,S4,S4P3
S4P3-8,nat,ASO,S4,S4P3
S4P3-9,nat,ASO,S4,S4P3
S4P3-10,nat,ASO,S4,S4P3
S5P1-1,nat,ANW,S5,S5P1
S5P1-2,nat,ANW,S5,S5P1
S5P1-3,nat,ANW,S5,S5P1
S5P1-4,nat,ANW,S5,S5P1
S5P1-5,nat,ANW,S5,S5P1
S5P1-6,nat,ANW,S5,S5P1
S5P1-7,nat,ANW,S5,S5P1
S5P1-8,nat,ANW,S5,S5P1
S5P1-9,nat,ANW,S5,S5P1
S5P1-10,nat,ANW,S5,S5P1
S5P2-1,nat,ANW,S5,S5P2
S5P2-2,nat,ANW,S5,S5P2
S5P2-3,nat,ANW,S5,S5P2
S5P2-4,nat,ANW,S5,S5P2
S5P2-5,nat,ANW,S5,S5P2
S5P2-6,nat,ANW,S5,S5P2
S5P2-7,nat,ANW,S5,S5P2
S5P2-8,nat,ANW,S5,S5P2
S5P2-9,nat,ANW,S5,S5P2
S5P2-10,nat,ANW,S5,S5P2
S5P3-1,nat,ANW,S5,S5P3
S5P3-2,nat,ANW,S5,S5P3
S5P3-3,nat,ANW,S5,S5P3
S5P3-4,nat,ANW,S5,S5P3
S5P3-5,nat,ANW,S5,S5P3
S5P3-6,nat,ANW,S5,S5P3
S5P3-7,nat,ANW,S5,S5P3
S5P3-8,nat,ANW,S5,S5P3
